"Long (WMORTG)" "Short (FF)"
"480" 13.06 9.68
"481" 12.85 8.99
"482" 12.58 9.08
"483" 12.35 9.41
"484" 12.18 9.26
"485" 12.23 8.98
"486" 12.18 8.68
"487" 12.18 8.98
"488" 12.25 9.6
"489" 12.25 8.85
"490" 12.55 9.35
"491" 12.8 10.03
"492" 12.95 10.47
"493" 13.03 10.22
"494" 13.08 10.64
"495" 13.25 10.85
"496" 13.43 12.38
"497" 13.6 12.59
"498" 13.73 12.64
"499" 13.78 12.55
"500" 13.85 13.17
"501" 14 13.99
"502" 14.08 14.65
"503" 14.18 15.22
"504" 14.28 17.43
"505" 14.28 17.72
"506" 14.43 18.82
"507" 14.83 19.83
"508" 14.95 19.44
"509" 14.95 18.45
"510" 14.95 20.06
"511" 14.8 19.64
"512" 14.85 19.35
"513" 14.85 18.12
"514" 15.07 17.19
"515" 15 16.51
"516" 15.03 15.81
"517" 15.2 14.96
"518" 15.3 15.73
"519" 15.4 15.53
"520" 15.4 14.13
"521" 15.4 13.48
"522" 15.4 14.93
"523" 15.4 15.43
"524" 15.5 15.33
"525" 15.65 15.55
"526" 15.77 16.28
"527" 15.82 18.91
"528" 16.12 18.21
"529" 16.64 18.89
"530" 16.63 18.71
"531" 16.8 18.4
"532" 16.76 19.33
"533" 16.69 19.1
"534" 16.71 19.2
"535" 16.62 18.84
"536" 16.64 19.93
"537" 16.79 18.76
"538" 16.74 19.05
"539" 16.88 18.54
"540" 17.11 18.25
"541" 17.13 18.29
"542" 17.27 18.19
"543" 17.26 17.41
"544" 17.48 16.89
"545" 17.79 16.5
"546" 18.22 16.09
"547" 18.27 15.33
"548" 18.36 15
"549" 18.28 15.46
"550" 18.63 14.93
"551" 18.53 15.32
"552" 18.39 14.87
"553" 18.44 14.79
"554" 18.37 14.01
"555" 18.02 13.17
"556" 17.7 12.42
"557" 17.21 12.48
"558" 16.9 12.04
"559" 16.94 12.26
"560" 16.9 12.43
"561" 16.95 12.54
"562" 17.04 12.98
"563" 17.3 12.42
"564" 17.44 12.96
"565" 17.61 13.98
"566" 17.59 14.77
"567" 17.56 15.19
"568" 17.65 15.61
"569" 17.66 13.86
"570" 17.52 14.07
"571" 17.29 14.35
"572" 17.19 14.89
"573" 17.12 14.48
"574" 17.04 14.99
"575" 16.95 15.15
"576" 16.91 14.68
"577" 16.93 15.01
"578" 16.86 14.72
"579" 16.81 15.53
"580" 16.78 14.97
"581" 16.63 14.67
"582" 16.67 13.7
"583" 16.63 13.43
"584" 16.65 13.6
"585" 16.7 14.24
"586" 16.71 14.17
"587" 16.73 14.81
"588" 16.87 14.47
"589" 16.93 13.18
"590" 16.88 12.14
"591" 16.75 11.02
"592" 16.65 11.15
"593" 16.55 10.9
"594" 16.44 10.11
"595" 16.21 9.04
"596" 15.88 10.15
"597" 15.59 10.14
"598" 15.56 10.27
"599" 15.38 10.31
"600" 15.19 10.12
"601" 15.13 10.77
"602" 14.96 9.6
"603" 14.6 9.53
"604" 14.2 9.44
"605" 14.15 9.43
"606" 13.91 9.45
"607" 13.84 9.61
"608" 13.78 8.91
"609" 13.77 8.69
"610" 13.66 8.84
"611" 13.66 8.86
"612" 13.63 8.69
"613" 13.6 8.79
"614" 13.57 10.21
"615" 13.46 8.42
"616" 13.31 8.49
"617" 13.12 8.44
"618" 13.1 8.53
"619" 13.06 8.5
"620" 13.06 8.62
"621" 13.07 8.47
"622" 12.98 8.44
"623" 12.74 8.59
"624" 12.79 8.57
"625" 12.81 8.75
"626" 12.86 8.88
"627" 12.82 9.43
"628" 12.82 8.76
"629" 12.79 8.7
"630" 12.75 8.58
"631" 12.73 8.8
"632" 12.71 8.48
"633" 12.59 8.59
"634" 12.55 8.72
"635" 12.68 8.77
"636" 12.74 8.84
"637" 12.82 8.84
"638" 12.96 9.14
"639" 12.96 8.9
"640" 13.08 9.39
"641" 13.3 9.21
"642" 13.5 9.43
"643" 13.58 9.46
"644" 13.65 9.59
"645" 13.73 9.66
"646" 13.84 9.67
"647" 13.89 9.41
"648" 13.78 9.44
"649" 13.77 9.53
"650" 13.77 9.54
"651" 13.72 9.48
"652" 13.72 9.04
"653" 13.65 10
"654" 13.59 9.46
"655" 13.6 9.36
"656" 13.52 9.36
"657" 13.43 9.4
"658" 13.42 9.36
"659" 13.47 9.42
"660" 13.42 9.26
"661" 13.43 9.27
"662" 13.41 9.49
"663" 13.38 9.52
"664" 13.42 9.62
"665" 13.46 8.96
"666" 13.43 10.06
"667" 13.43 9.53
"668" 13.4 9.54
"669" 13.35 9.53
"670" 13.29 9.41
"671" 13.26 9.58
"672" 13.23 9.53
"673" 13.19 9.6
"674" 13.25 9.62
"675" 13.23 9.74
"676" 13.3 9.79
"677" 13.37 10.04
"678" 13.48 9.97
"679" 13.55 10.41
"680" 13.63 10.13
"681" 13.58 10.37
"682" 13.67 9.98
"683" 13.73 10.7
"684" 13.78 10.46
"685" 13.87 10.52
"686" 14.04 9.75
"687" 14.08 10.3
"688" 14.29 10.72
"689" 14.33 10.85
"690" 14.47 11.49
"691" 14.49 11.27
"692" 14.5 10.91
"693" 14.66 11.25
"694" 14.68 11.21
"695" 14.66 11.19
"696" 14.67 11.53
"697" 14.68 11.59
"698" 14.54 11.63
"699" 14.39 11.77
"700" 14.36 11.5
"701" 14.38 11.68
"702" 14.42 11.52
"703" 14.43 11.46
"704" 14.29 10.73
"705" 14.26 11.2
"706" 14.18 10.01
"707" 14.19 10.22
"708" 14.1 9.45
"709" 14.05 9.73
"710" 13.85 9.87
"711" 13.74 9.55
"712" 13.63 9.47
"713" 13.55 9
"714" 13.42 8.83
"715" 13.2 8.7
"716" 13.2 7.99
"717" 13.18 7.95
"718" 13.14 8.75
"719" 13.1 8.27
"720" 13.12 8.23
"721" 13.12 8.19
"722" 12.96 8.45
"723" 12.93 8.59
"724" 12.91 8.44
"725" 12.9 8.57
"726" 12.94 8.4
"727" 13.02 8.63
"728" 13.1 8.52
"729" 13.2 8.75
"730" 13.24 8.38
"731" 13.29 8.68
"732" 13.27 8.45
"733" 13.23 8.46
"734" 13.16 7.69
"735" 13.12 8.35
"736" 13.07 8.19
"737" 13.02 8.14
"738" 12.94 7.91
"739" 12.83 7.6
"740" 12.71 7.75
"741" 12.39 7.62
"742" 12.27 7.13
"743" 12.05 7.46
"744" 12.15 8.06
"745" 12.13 8.07
"746" 12.03 7.77
"747" 11.94 7.88
"748" 12.03 7.64
"749" 12.17 7.92
"750" 12.23 7.88
"751" 12.24 8.06
"752" 12.18 7.78
"753" 12.11 7.88
"754" 12.15 7.8
"755" 12.24 7.85
"756" 12.21 7.96
